kernel_id,section,metric_name,value
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,Compute (SM) Throughput,9.15
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,DRAM Frequency,13.72
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,DRAM Throughput,19.66
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,Duration,6.75
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,Elapsed Cycles,13485.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,L1/TEX Cache Throughput,11.55
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,L2 Cache Throughput,8.59
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,Memory Throughput,19.66
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,SM Active Cycles,9495.42
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,SpeedOfLight,SM Frequency,1.99
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,MemoryWorkloadAnalysis,L1/TEX Hit Rate,40.73
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,MemoryWorkloadAnalysis,L2 Compression Ratio,0.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,MemoryWorkloadAnalysis,L2 Hit Rate,27.66
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,MemoryWorkloadAnalysis,Max Bandwidth,19.66
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,MemoryWorkloadAnalysis,Mem Busy,8.59
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,MemoryWorkloadAnalysis,Mem Pipes Busy,7.55
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,MemoryWorkloadAnalysis,Memory Throughput,345.14
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Achieved Active Warps Per SM,5.43
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Achieved Occupancy,11.32
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Block Limit Barriers,24.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Block Limit Registers,2.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Block Limit SM,24.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Block Limit Shared Mem,4.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Block Limit Warps,12.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Cluster Occupancy,0.0
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,Occupancy,Max Active Clusters,0.0
