kernel_id,kernel_name,display_name,grid_size,block_size,device,cc,process,process_id,sm_throughput_pct,dram_throughput_pct,mem_throughput_pct,l1tex_throughput_pct,l2_throughput_pct,duration_us,mem_busy_pct,max_bandwidth_pct,memory_throughput_gbs,l1tex_hit_rate_pct,l2_hit_rate_pct,achieved_occupancy_pct,theoretical_occupancy_pct,classification,roofline_ai_flops_per_byte,roofline_flops_per_s
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,"enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",enable_if_T7_void_type_kernel_int_int___nv_bfloat16___nv_bfloat16___nv_bfloat16_,"(224, 1, 1)","(32, 4, 1)",0,12.0,python3.12,1740670,9.15,19.66,19.66,11.55,8.59,6.75,8.59,19.66,345.14,40.73,27.66,11.32,16.67,memory_bound,,
kernel_0002_1faa81623a925a9e2084e148672df203,"enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",enable_if_T7_void_type_kernel_int_int___nv_bfloat16___nv_bfloat16___nv_bfloat16_,"(1712, 1, 1)","(16, 4, 1)",0,12.0,python3.12,1741191,22.47,54.36,54.36,23.53,35.55,18.34,35.55,54.36,958.09,31.77,5.3,15.23,16.67,memory_bound,,
kernel_0003_0a7671622339a06b4a022feebfe90426,void Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(Params),void_Kernel2_cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align,"(152, 4, 1)","(128, 1, 1)",0,12.0,python3.12,1741703,41.49,8.13,61.83,49.23,61.83,23.42,61.83,60.91,143.2,0.53,95.4,15.18,16.67,compute_bound,380617437.61194026,54443570281810.42
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,"void unrolled_elementwise_kernel<direct_copy_kernel_cuda(TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() lambda() (instance 7)]::operator ()() lambda(float) (instance 1)], array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, LoadWithCast<1>, StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)",void_unrolled_elementwise_kernel_direct_copy_kernel_cuda_TensorIteratorBase_lamb,"(2, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1742248,0.02,0.4,6.32,14.2,1.38,4.7,6.32,6.05,6.97,0.0,89.96,8.31,100.0,balanced,,
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(Params),void_Kernel2_cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align,"(332, 1, 1)","(256, 1, 1)",0,12.0,python3.12,1742833,32.1,8.87,27.74,16.74,27.74,111.81,27.74,27.59,156.55,0.55,80.44,16.73,16.67,compute_bound,716147448.6857142,112088188462570.44
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,"void vectorized_elementwise_kernel<4, BinaryFunctor<BFloat16, BFloat16, BFloat16, MulFunctor<float>>, array<char *, 3>>(int, T2, T3)",void_vectorized_elementwise_kernel_4_BinaryFunctor_BFloat16_BFloat16_BFloat16_Mu,"(42, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1743423,0.28,3.52,10.47,4.61,2.21,2.88,10.47,10.03,60.8,0.05,25.06,8.12,83.33,balanced,,
kernel_0007_00005f09c4340a046ca3c5a663a85a78,"void vectorized_elementwise_kernel<4, unnamed>::silu_kernel(TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() lambda() (instance 6)]::operator ()() lambda(BFloat16) (instance 1)], array<char *, 2>>(int, T2, T3)",void_vectorized_elementwise_kernel_4_unnamed_silu_kernel_TensorIteratorBase_lamb,"(42, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1743996,0.64,1.8,9.57,2.48,1.96,3.14,9.57,9.16,31.1,0.08,45.68,7.73,100.0,balanced,,
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,"void vectorized_elementwise_kernel<4, bfloat16_copy_kernel_cuda(TensorIteratorBase &)::[lambda(float) (instance 1)], array<char *, 2>>(int, T2, T3)",void_vectorized_elementwise_kernel_4_bfloat16_copy_kernel_cuda_TensorIteratorBas,"(1600, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1744548,2.66,49.42,49.42,10.36,23.97,7.58,23.97,49.42,864.78,0.0,2.04,54.0,100.0,memory_bound,,
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,"fmha_cutlassF_bf16_aligned_64x64_rf_sm80(AttentionKernel<bfloat16_t, Sm80, 1, 64, 64, 64, 1, 1>::Params)",fmha_cutlassF_bf16_aligned_64x64_rf_sm80_AttentionKernel_bfloat16_t_Sm80_1_64_64,"(4, 12, 54)","(32, 4, 1)",0,12.0,python3.12,1745130,36.75,37.26,37.26,37.03,34.01,160.74,34.73,37.26,657.28,0.34,61.97,30.81,33.33,balanced,96470976.99952675,63407731243001.12
kernel_0010_adbaf834f7ef147e0ba0fa823d1cf461,"void elementwise_kernel<128, 4, void gpu_kernel_impl_nocast<CUDAFunctor_add<BFloat16>>(TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",void_elementwise_kernel_128_4_void_gpu_kernel_impl_nocast_CUDAFunctor_add_BFloat,"(14400, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1745691,12.07,10.29,93.99,41.59,93.99,94.91,93.99,71.83,181.55,2.08,90.48,89.3,100.0,balanced,,
kernel_0011_80f82850de797dbe1c2bc09b49ba440d,"void elementwise_kernel<128, 4, void gpu_kernel_impl_nocast<BinaryFunctor<BFloat16, BFloat16, BFloat16, MulFunctor<float>>>(TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",void_elementwise_kernel_128_4_void_gpu_kernel_impl_nocast_BinaryFunctor_BFloat16,"(2283, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1746281,25.26,21.41,21.41,15.25,18.88,6.91,15.1,21.41,375.78,40.0,28.89,76.64,100.0,balanced,,
kernel_0012_5c25747ef73c201c03443a7fd9e4dc0a,"void unnamed>::CatArrayBatchedCopy_vectorized<unnamed>::OpaqueType<2>, unsigned int, 3, 128, 1, 16, 8>(char *, unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, unnamed>::TensorSizeStride<T2, 4>, int, T2)",void_unnamed_CatArrayBatchedCopy_vectorized_unnamed_OpaqueType_2_unsigned_int_3_,"(1143, 2, 1)","(128, 1, 1)",0,12.0,python3.12,1746873,9.55,27.81,27.81,8.63,21.19,4.83,18.56,27.81,485.62,0.0,3.82,58.85,100.0,memory_bound,,
kernel_0013_178ff748c21ea29399b8568af3cd1f02,"void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<128, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)",void_flash_fwd_splitkv_kernel_Flash_fwd_kernel_traits_128_64_128_4_0_0_bfloat16_,"(1, 8, 10)","(128, 1, 1)",0,12.0,python3.12,1747455,8.77,26.0,26.0,18.21,9.32,10.34,9.32,26.0,458.3,0.0,11.72,8.24,8.33,memory_bound,70789940.92827004,32451094777562.863
kernel_0014_9e80f0ed5cb0e570723795cf1e90602c,"void vectorized_elementwise_kernel<4, CUDAFunctor_add<BFloat16>, array<char *, 3>>(int, T2, T3)",void_vectorized_elementwise_kernel_4_CUDAFunctor_add_BFloat16_array_char_3_int_T,"(1142, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1747970,3.26,41.96,41.96,9.54,20.63,6.34,20.63,41.96,738.83,0.0,2.75,39.46,100.0,memory_bound,,
kernel_0015_6e455799bd13dda1c89d797afda657d1,"void elementwise_kernel<128, 2, void gpu_kernel_impl_nocast<BinaryFunctor<float, float, float, MulFunctor<float>>>(TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",void_elementwise_kernel_128_2_void_gpu_kernel_impl_nocast_BinaryFunctor_float_fl,"(4565, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1748536,19.66,39.45,39.45,14.89,31.62,6.78,26.14,39.45,691.7,9.78,4.35,81.08,100.0,memory_bound,,
kernel_0016_d5dc19ab8d6c32669179c164a1a4c9a5,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(Params),void_Kernel2_cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align,"(304, 1, 1)","(256, 1, 1)",0,12.0,python3.12,1749068,32.46,8.96,25.75,18.03,25.75,404.7,25.75,24.18,158.07,0.07,86.48,16.66,16.67,compute_bound,175770488.13325676,113423432112676.06
kernel_0017_8a01c8921faf9b4e5fbb6acb3e3ad982,"void unnamed>::CatArrayBatchedCopy<unnamed>::OpaqueType<2>, unsigned int, 4, 64, 64>(T1 *, unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, unnamed>::TensorSizeStride<T2, 4>, int, T2)",void_unnamed_CatArrayBatchedCopy_unnamed_OpaqueType_2_unsigned_int_4_64_64_T1_un,"(340, 2, 1)","(512, 1, 1)",0,12.0,python3.12,1749636,38.78,13.59,13.59,12.15,13.27,9.82,8.94,13.59,238.46,25.0,25.39,77.47,100.0,compute_bound,,
kernel_0018_1d7327b1c2dfbbb368e7c2a1a25ad575,"void reduce_kernel<512, 1, ReduceOp<float, MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)",void_reduce_kernel_512_1_ReduceOp_float_MeanOps_float_float_float_float_unsigned,"(58, 1, 1)","(32, 16, 1)",0,12.0,python3.12,1750172,2.17,33.91,33.91,18.84,12.27,7.97,12.27,33.91,594.41,0.58,12.59,33.15,100.0,memory_bound,,
kernel_0019_21996b732bff997c382af60773e3826c,"void elementwise_kernel<128, 2, void gpu_kernel_impl_nocast<direct_copy_kernel_cuda(TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() lambda() (instance 7)]::operator ()() lambda(float) (instance 1)]>(TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",void_elementwise_kernel_128_2_void_gpu_kernel_impl_nocast_direct_copy_kernel_cud,"(4800, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1750705,6.76,15.48,78.21,42.64,78.21,18.08,78.21,57.51,272.67,2.72,77.33,87.66,100.0,memory_bound,,
kernel_0020_774ba7c8cbad40df1ee4aee6a2841e96,"void elementwise_kernel<128, 4, void gpu_kernel_impl_nocast<neg_kernel_cuda(TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() lambda() (instance 9)]::operator ()() lambda(BFloat16) (instance 1)]>(TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",void_elementwise_kernel_128_4_void_gpu_kernel_impl_nocast_neg_kernel_cuda_Tensor,"(1142, 1, 1)","(128, 1, 1)",0,12.0,python3.12,1751255,10.76,13.64,13.64,7.93,13.0,4.99,9.92,13.64,238.62,25.0,21.75,54.32,100.0,balanced,,
