kernel_id,kernel_name,display_name,grid_size,block_size,device,cc,process,process_id,sm_throughput_pct,dram_throughput_pct,mem_throughput_pct,l1tex_throughput_pct,l2_throughput_pct,duration_us,mem_busy_pct,max_bandwidth_pct,memory_throughput_gbs,l1tex_hit_rate_pct,l2_hit_rate_pct,achieved_occupancy_pct,theoretical_occupancy_pct,classification,roofline_ai_flops_per_byte,roofline_flops_per_s
kernel_0001_67bdb7e29d1bb4e0ca0aec954ef18af3,"enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",enable_if_T7_void_type_kernel_int_int___nv_bfloat16___nv_bfloat16___nv_bfloat16_,"(224, 1, 1)","(32, 4, 1)",0.0,12.0,python3.12,1702327.0,9.61,20.52,20.52,12.05,9.0,6.46,8.99,20.52,360.51,40.73,27.64,11.68,16.67,memory_bound,,
kernel_0002_1faa81623a925a9e2084e148672df203,"enable_if<!T7, void>::type kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 0, 1, 1, 0, 6, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",enable_if_T7_void_type_kernel_int_int___nv_bfloat16___nv_bfloat16___nv_bfloat16_,"(448, 1, 1)","(16, 4, 1)",0.0,12.0,python3.12,1702827.0,12.25,31.19,31.19,14.78,22.08,8.42,22.08,31.19,549.44,27.1,16.59,10.31,16.67,memory_bound,,
kernel_0003_0a7671622339a06b4a022feebfe90426,void Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(Params),void_Kernel2_cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align,"(72, 4, 1)","(128, 1, 1)",0.0,12.0,python3.12,1703369.0,33.36,11.28,47.96,45.39,47.96,13.31,47.96,47.2,198.29,2.71,91.84,13.73,16.67,compute_bound,228780218.18181816,45377894515401.95
kernel_0004_16864015d8ec27ba6cf878e5c5ff03d9,"void unrolled_elementwise_kernel<direct_copy_kernel_cuda(TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() lambda() (instance 7)]::operator ()() lambda(float) (instance 1)], array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, LoadWithCast<1>, StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)",void_unrolled_elementwise_kernel_direct_copy_kernel_cuda_TensorIteratorBase_lamb,"(2, 1, 1)","(128, 1, 1)",0.0,12.0,python3.12,1703911.0,0.02,0.4,6.24,13.71,1.36,4.74,6.24,5.98,6.92,0.0,89.92,7.85,100.0,balanced,,
kernel_0005_e67789a8b6cb9adf2cb8d4d3745a9a79,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(Params),void_Kernel2_cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align,"(312, 2, 1)","(256, 1, 1)",0.0,12.0,python3.12,1704452.0,30.71,3.82,25.96,16.56,25.96,165.09,25.55,25.96,67.46,0.55,85.64,16.51,16.67,compute_bound,33769943.89264824,107010772596765.39
kernel_0006_22a72b2516655bdcb640a70c937dd9c8,"void vectorized_elementwise_kernel<4, BinaryFunctor<BFloat16, BFloat16, BFloat16, MulFunctor<float>>, array<char *, 3>>(int, T2, T3)",void_vectorized_elementwise_kernel_4_BinaryFunctor_BFloat16_BFloat16_BFloat16_Mu,"(77, 1, 1)","(128, 1, 1)",0.0,12.0,python3.12,1705098.0,0.47,6.26,10.17,4.44,3.62,2.94,10.17,9.73,109.39,0.0,16.82,7.37,83.33,memory_bound,,
kernel_0007_00005f09c4340a046ca3c5a663a85a78,"void vectorized_elementwise_kernel<4, unnamed>::silu_kernel(TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() lambda() (instance 6)]::operator ()() lambda(BFloat16) (instance 1)], array<char *, 2>>(int, T2, T3)",void_vectorized_elementwise_kernel_4_unnamed_silu_kernel_TensorIteratorBase_lamb,"(77, 1, 1)","(128, 1, 1)",0.0,12.0,python3.12,1705641.0,1.19,3.07,9.35,2.4,2.8,3.17,9.35,8.95,53.98,0.0,32.94,8.11,100.0,balanced,,
kernel_0008_82c66d4b063f5991a5a64fd0a56659be,"void vectorized_elementwise_kernel<4, bfloat16_copy_kernel_cuda(TensorIteratorBase &)::[lambda(float) (instance 1)], array<char *, 2>>(int, T2, T3)",void_vectorized_elementwise_kernel_4_bfloat16_copy_kernel_cuda_TensorIteratorBas,"(1120, 1, 1)","(128, 1, 1)",0.0,12.0,python3.12,1706170.0,2.48,43.46,43.46,9.59,21.42,6.02,21.42,43.46,763.36,0.0,2.64,37.6,100.0,memory_bound,,
kernel_0009_60b6526c428eef70c521b6a4c8ca71db,,kernel_0009_60b6526c428eef70c521b6a4c8ca71db,,,,,,,,,,,,,,,,,,,,unknown,,
kernel_0010_adbaf834f7ef147e0ba0fa823d1cf461,"void elementwise_kernel<128, 4, void gpu_kernel_impl_nocast<CUDAFunctor_add<BFloat16>>(TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",void_elementwise_kernel_128_4_void_gpu_kernel_impl_nocast_CUDAFunctor_add_BFloat,"(6144, 1, 1)","(128, 1, 1)",0.0,12.0,python3.12,1706987.0,9.26,16.46,86.59,39.33,86.59,43.46,86.59,65.7,290.17,3.85,85.5,89.28,100.0,memory_bound,,
kernel_0011_80f82850de797dbe1c2bc09b49ba440d,"void elementwise_kernel<128, 4, void gpu_kernel_impl_nocast<BinaryFunctor<BFloat16, BFloat16, BFloat16, MulFunctor<float>>>(TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",void_elementwise_kernel_128_4_void_gpu_kernel_impl_nocast_BinaryFunctor_BFloat16,"(2283, 1, 1)","(128, 1, 1)",0.0,12.0,python3.12,1707481.0,21.36,22.57,23.12,16.22,23.12,6.56,20.31,23.12,395.94,16.86,43.46,74.71,100.0,balanced,,
kernel_0012_5c25747ef73c201c03443a7fd9e4dc0a,"void unnamed>::CatArrayBatchedCopy_vectorized<unnamed>::OpaqueType<2>, unsigned int, 3, 128, 1, 16, 8>(char *, unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, unnamed>::TensorSizeStride<T2, 4>, int, T2)",void_unnamed_CatArrayBatchedCopy_vectorized_unnamed_OpaqueType_2_unsigned_int_3_,"(1145, 2, 1)","(128, 1, 1)",0.0,12.0,python3.12,1707943.0,10.13,27.34,27.34,9.15,20.58,4.9,18.04,27.34,480.31,0.0,3.72,60.22,100.0,memory_bound,,
